year,month,precipitation(mm),snow_depth(cm),mean_temperature(°C),min_temperature(°C),max_temperature(°C)
1991,1,68.89999999999999,43.0,-3.6322580645161286,-6.829032258064516,-0.5064516129032259
1991,2,16.400000000000002,53.17857142857143,-7.5,-10.735714285714286,-4.5321428571428575
1991,3,31.2,45.903225806451616,-0.9806451612903226,-3.5580645161290323,1.929032258064516
1991,4,14.1,6.4,3.433333333333333,-1.1666666666666667,8.286666666666667
1991,5,28.8,0.0,7.241935483870968,2.487096774193548,12.17741935483871
1991,6,69.1,0.0,12.096666666666666,8.22,16.45
1991,7,55.0,0.0,16.638709677419353,10.69032258064516,22.509677419354837
1991,8,91.5,0.0,16.15806451612903,11.919354838709678,21.42258064516129
1991,9,79.9,0.0,9.133333333333333,5.163333333333333,13.586666666666668
1991,10,49.4,0.0,5.364516129032259,2.9612903225806453,7.993548387096774
1991,11,81.10000000000001,2.4,2.5866666666666664,0.5933333333333333,4.12
1991,12,33.7,4.741935483870968,-1.6225806451612903,-4.548387096774194,1.0935483870967742
1992,1,49.5,18.483870967741936,-2.135483870967742,-5.616129032258065,0.9935483870967742
1992,2,31.099999999999998,29.75862068965517,-2.6724137931034484,-5.872413793103449,0.11034482758620691
1992,3,42.5,16.29032258064516,0.43870967741935485,-1.1096774193548387,2.512903225806452
1992,4,47.800000000000004,3.3333333333333335,1.2966666666666666,-1.0966666666666667,4.206666666666667
1992,5,7.3,0.0,11.364516129032259,4.596774193548387,17.574193548387097
1992,6,24.6,0.0,15.653333333333334,8.2,22.05666666666667
1992,7,47.1,0.0,15.980645161290324,10.458064516129031,21.845161290322583
1992,8,107.3,0.0,14.283870967741937,10.393548387096773,18.77741935483871
1992,9,59.1,0.0,11.25,8.266666666666667,14.85
1992,10,64.3,0.6129032258064516,-0.6290322580645161,-3.5258064516129033,2.5870967741935487
1992,11,63.2,3.1333333333333333,-1.8033333333333335,-4.073333333333333,0.4666666666666667
1992,12,33.1,0.3225806451612903,0.08709677419354842,-1.7870967741935484,1.993548387096774
1993,1,55.6,4.516129032258065,-2.306451612903226,-5.135483870967742,-0.11612903225806454
1993,2,16.400000000000002,6.857142857142857,-3.3642857142857143,-6.185714285714285,-0.6392857142857143
1993,3,28.8,10.709677419354838,-0.8806451612903226,-3.5354838709677416,2.2451612903225806
1993,4,29.0,0.06666666666666667,3.2733333333333334,-1.2966666666666666,8.163333333333334
1993,5,0.8999999999999999,0.0,13.558064516129033,5.935483870967742,20.351612903225806
1993,6,55.9,0.0,11.360000000000001,6.213333333333334,16.763333333333332
1993,7,107.2,0.0,15.638709677419355,11.158064516129032,20.712903225806453
1993,8,136.20000000000002,0.0,12.903225806451612,9.600000000000001,17.106451612903225
1993,9,12.5,0.0,5.683333333333334,1.0966666666666667,11.06
1993,10,50.7,0.0,2.9838709677419355,-0.18709677419354842,6.638709677419355
1993,11,3.2,1.0333333333333334,-3.6166666666666667,-5.566666666666666,-1.5799999999999998
1993,12,61.3,4.806451612903226,-3.4548387096774196,-5.661290322580645,-1.5451612903225806
1994,1,52.0,14.64516129032258,-4.83225806451613,-7.751612903225807,-2.3129032258064517
1994,2,1.1,28.428571428571427,-13.957142857142857,-18.014285714285712,-8.971428571428572
1994,3,54.3,28.096774193548388,-3.193548387096774,-6.796774193548386,0.7548387096774193
1994,4,33.4,4.4,5.016666666666667,0.8566666666666668,9.879999999999999
1994,5,33.7,0.06451612903225806,7.77741935483871,1.2161290322580647,13.783870967741937
1994,6,66.3,0.0,12.133333333333333,7.28,17.416666666666668
1994,7,0.8,0.0,19.03548387096774,11.33548387096774,25.864516129032257
1994,8,54.0,0.0,15.116129032258065,9.980645161290322,20.822580645161292
1994,9,105.4,0.0,10.036666666666667,6.453333333333333,14.583333333333334
1994,10,75.4,0.0967741935483871,4.380645161290323,1.738709677419355,7.612903225806452
1994,11,23.6,0.6666666666666666,-0.9600000000000001,-3.7233333333333336,1.5833333333333333
1994,12,51.2,1.1612903225806452,-0.39032258064516134,-2.135483870967742,1.0806451612903225
1995,1,45.8,5.967741935483871,-3.5870967741935487,-6.62258064516129,-1.2677419354838708
1995,2,58.1,7.821428571428571,-1.0178571428571428,-3.817857142857143,1.2428571428571427
1995,3,45.3,6.903225806451613,-0.2903225806451613,-2.3193548387096774,1.7774193548387098
1995,4,46.7,6.966666666666667,2.6666666666666665,-1.4166666666666667,7.253333333333333
1995,5,87.2,0.16129032258064516,8.667741935483871,3.564516129032258,13.938709677419356
1995,6,120.6,0.0,16.733333333333334,12.256666666666666,21.64333333333333
1995,7,53.2,0.0,15.30967741935484,9.625806451612902,20.84193548387097
1995,8,65.0,0.0,15.096774193548388,8.912903225806453,21.093548387096774
1995,9,44.6,0.0,10.270000000000001,6.736666666666666,14.696666666666665
1995,10,66.3,0.0,7.583870967741936,5.1,10.141935483870967
1995,11,46.7,3.7,-2.8466666666666667,-6.1899999999999995,0.03666666666666669
1995,12,18.6,9.64516129032258,-8.52258064516129,-12.470967741935485,-4.748387096774193
1996,1,7.8,18.032258064516128,-6.190322580645161,-8.25483870967742,-4.054838709677419
1996,2,35.3,27.79310344827586,-11.251724137931035,-15.12758620689655,-6.658620689655172
1996,3,28.7,40.645161290322584,-4.464516129032258,-9.938709677419356,1.3064516129032258
1996,4,24.200000000000003,20.833333333333332,2.6366666666666663,-2.05,8.063333333333334
1996,5,64.5,0.0,8.77741935483871,3.129032258064516,14.503225806451614
1996,6,52.300000000000004,0.0,13.09,8.27,18.009999999999998
1996,7,135.5,0.0,13.916129032258064,9.458064516129031,18.654838709677417
1996,8,13.9,0.0,16.970967741935485,10.63225806451613,23.08709677419355
1996,9,20.1,0.0,8.256666666666666,4.116666666666666,13.28
1996,10,56.3,0.0,6.406451612903226,3.8225806451612905,9.158064516129032
1996,11,128.2,0.4,2.4766666666666666,0.2066666666666667,4.5600000000000005
1996,12,27.6,5.580645161290323,-6.067741935483871,-9.33548387096774,-2.9387096774193546
1997,1,40.9,21.838709677419356,-4.645161290322581,-9.587096774193547,-0.9516129032258065
1997,2,56.1,30.428571428571427,-4.282142857142857,-7.857142857142857,-0.9
1997,3,31.4,4.225806451612903,-1.135483870967742,-4.441935483870967,2.967741935483871
1997,4,45.2,0.9666666666666667,1.15,-2.9099999999999997,5.623333333333333
1997,5,15.8,0.0,7.741935483870968,2.0516129032258066,13.235483870967743
1997,6,101.2,0.0,16.143333333333334,8.863333333333333,22.316666666666666
1997,7,141.10000000000002,0.0,17.75483870967742,12.112903225806452,23.17096774193548
1997,8,43.7,0.0,17.809677419354838,11.658064516129032,23.741935483870968
1997,9,78.2,0.0,10.003333333333334,6.183333333333334,14.35
1997,10,47.4,0.03225806451612903,2.42258064516129,-0.47419354838709676,5.65483870967742
1997,11,42.7,2.3666666666666667,-0.3766666666666667,-2.603333333333333,1.6166666666666667
1997,12,30.1,5.483870967741935,-3.5064516129032257,-6.380645161290323,-1.6612903225806452
1998,1,52.6,7.967741935483871,-2.1903225806451614,-4.280645161290322,-0.3354838709677419
1998,2,42.0,9.392857142857142,-4.678571428571429,-9.15,-1.1892857142857145
1998,3,28.0,8.387096774193548,-4.635483870967741,-9.493548387096775,0.5967741935483871
1998,4,15.1,0.03333333333333333,3.1366666666666663,-1.6166666666666667,8.41
1998,5,65.4,0.0,9.219354838709679,3.096774193548387,15.26774193548387
1998,6,99.0,0.0,13.66,9.576666666666666,18.05
1998,7,70.3,0.0,15.174193548387096,10.912903225806453,20.080645161290324
1998,8,83.3,0.0,13.01290322580645,9.629032258064516,16.983870967741936
1998,9,29.1,0.0,10.466666666666667,6.66,15.166666666666666
1998,10,81.7,0.0,4.893548387096774,1.538709677419355,8.341935483870968
1998,11,14.700000000000001,3.3,-3.9,-6.2,-2.0166666666666666
1998,12,45.6,7.870967741935484,-3.338709677419355,-6.274193548387097,-1.0290322580645161
