year,season,precipitation(mm),snow_depth(cm),mean_temperature(°C),min_temperature(°C),max_temperature(°C)
1991,Autumn,210.4,0.7912087912087912,5.6912087912087905,2.9065934065934065,8.56043956043956
1991,Spring,74.1,17.554347826086957,3.229347826086957,-0.741304347826087,7.4554347826086955
1991,Summer,215.6,0.0,14.995652173913042,10.298913043478262,20.167391304347827
1991,Winter,119.0,32.98888888888889,-4.143333333333333,-7.2588888888888885,-1.2077777777777778
1992,Autumn,186.6,1.2417582417582418,2.9,0.1813186813186813,5.930769230769231
1992,Spring,97.60000000000001,6.576086956521739,4.4,0.8173913043478261,8.140217391304347
1992,Summer,179.0,0.0,15.302173913043477,9.7,20.880434782608695
1992,Winter,113.7,15.89010989010989,-1.5494505494505495,-4.393406593406594,1.0527472527472528
1993,Autumn,66.4,0.34065934065934067,1.6978021978021978,-1.5373626373626375,5.386813186813186
1993,Spring,58.699999999999996,3.630434782608696,5.339130434782609,0.3858695652173913,10.27608695652174
1993,Summer,299.3,0.0,13.321739130434782,9.020652173913044,18.20978260869565
1993,Winter,133.3,5.344444444444444,-3.031111111111111,-5.6433333333333335,-0.7711111111111112
1994,Autumn,204.4,0.25274725274725274,4.484615384615385,1.4923076923076923,7.923076923076923
1994,Spring,121.4,10.923913043478262,3.180434782608696,-1.601086956521739,8.120652173913044
1994,Summer,121.1,0.0,15.464130434782609,9.556521739130435,21.41086956521739
1994,Winter,104.3,14.28888888888889,-6.141111111111112,-9.01,-3.2155555555555555
1995,Autumn,157.6,1.2197802197802199,5.030769230769231,1.9175824175824177,8.312087912087911
1995,Spring,179.20000000000002,4.6521739130434785,3.692391304347826,-0.04239130434782611,7.660869565217391
1995,Summer,238.8,0.0,15.702173913043477,10.243478260869566,21.18804347826087
1995,Winter,122.5,7.811111111111111,-4.487777777777778,-7.764444444444444,-1.6855555555555555
1996,Autumn,204.6,0.13186813186813187,5.720879120879121,2.7274725274725276,9.001098901098901
1996,Spring,117.4,20.48913043478261,2.3130434782608695,-2.96304347826087,7.956521739130435
1996,Summer,201.7,0.0,14.67608695652174,9.466304347826087,19.93804347826087
1996,Winter,70.7,16.9010989010989,-7.761538461538461,-10.813186813186814,-4.504395604395604
1997,Autumn,168.3,0.7912087912087912,3.9989010989010985,1.0186813186813186,7.190109890109889
1997,Spring,92.4,1.7391304347826086,2.601086956521739,-1.7543478260869565,7.293478260869565
1997,Summer,286.0,0.0,17.247826086956522,10.9,23.084782608695654
1997,Winter,127.10000000000001,18.877777777777776,-4.140000000000001,-7.944444444444445,-1.18
1998,Autumn,125.5,1.0879120879120878,3.8318681318681316,0.6758241758241759,7.176923076923077
1998,Spring,108.5,2.8369565217391304,2.567391304347826,-2.6826086956521737,8.08804347826087
1998,Summer,252.60000000000002,0.0,13.952173913043477,10.044565217391305,18.375
1998,Winter,140.2,8.377777777777778,-3.3600000000000003,-6.482222222222222,-0.84
1999,Autumn,177.7,0.15384615384615385,6.293406593406594,2.7846153846153845,10.143956043956043
1999,Spring,82.7,16.652173913043477,3.5782608695652174,-0.8586956521739131,8.081521739130435
1999,Summer,133.4,0.0,16.29891304347826,9.785869565217391,22.464130434782607
1999,Winter,192.4,17.955555555555556,-5.84,-8.972222222222221,-2.9355555555555553
2000,Autumn,169.4,0.04395604395604396,6.845054945054945,3.557142857142857,10.405494505494506
